claim,meme,coherence_avg,clarity_avg,hilarity_avg,persuasiveness_avg,template_avg,overall_avg,evaluation_type
1,5,3.0,3.6666666666666665,2.6666666666666665,3.6666666666666665,4.0,3.4,worst
1,4,3.6666666666666665,3.8333333333333335,3.0,3.0,3.6666666666666665,3.4333333333333336,worst
1,6,3.142857142857143,3.5714285714285716,3.4285714285714284,3.7142857142857144,3.4285714285714284,3.457142857142857,worst
1,3,4.1,4.1,4.0,3.9,4.2,4.06,best
1,1,4.36,4.4,3.76,3.76,4.14,4.0840000000000005,best
1,7,4.0,4.5,4.5,4.0,4.5,4.3,best
2,6,3.5,3.8333333333333335,2.5,3.0,3.1666666666666665,3.2,worst
2,5,3.111111111111111,3.7777777777777777,3.0,3.2222222222222223,3.2222222222222223,3.2666666666666666,worst
2,2,3.65,4.0,2.95,3.4,3.7,3.5400000000000005,worst
2,4,4.444444444444445,3.6666666666666665,3.888888888888889,3.3333333333333335,3.7777777777777777,3.822222222222222,best
2,7,4.333333333333333,3.8333333333333335,3.5,3.8333333333333335,4.0,3.9,best
2,3,4.4,4.4,3.4,3.4,4.4,4.0,best
3,7,1.0,1.0,1.0,1.0,2.0,1.2,worst
3,6,2.0,3.0,3.0,4.0,3.0,3.0,worst
3,3,4.0,3.0,3.0,3.0,3.0,3.2,worst
3,1,4.0,4.0,2.5,3.5,4.0,3.6,best
3,5,3.9444444444444446,4.166666666666667,3.6666666666666665,3.4444444444444446,4.0,3.844444444444444,best
3,8,4.023809523809524,4.0476190476190474,3.8095238095238093,3.642857142857143,3.9047619047619047,3.8857142857142852,best
4,4,1.5,2.5,2.5,2.0,2.0,2.1,worst
4,3,3.5,4.5,2.0,3.5,3.5,3.4,worst
4,5,3.5,3.6666666666666665,3.1666666666666665,3.5,3.6666666666666665,3.5,worst
4,7,4.0,3.6666666666666665,3.8333333333333335,3.8333333333333335,4.0,3.866666666666667,best
4,2,4.2727272727272725,4.2727272727272725,3.4545454545454546,3.5454545454545454,4.090909090909091,3.9272727272727272,best
4,8,4.183673469387755,4.1020408163265305,3.877551020408163,3.6122448979591835,4.061224489795919,3.96734693877551,best
5,7,2.5,2.75,2.5,2.75,3.0,2.7,worst
5,2,3.5,3.75,2.25,2.75,3.25,3.1,worst
5,3,3.6,3.6,2.8,3.0,3.4,3.28,worst
5,8,3.8666666666666667,3.7555555555555555,3.688888888888889,3.4,3.8222222222222224,3.706666666666666,best
5,5,3.6666666666666665,3.9444444444444446,3.7222222222222223,3.3333333333333335,3.888888888888889,3.711111111111111,best
5,1,4.333333333333333,4.0,3.5,3.3333333333333335,3.5,3.733333333333333,best
6,5,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.6666666666666665,2.4666666666666663,worst
6,3,3.875,3.625,3.625,3.5,3.25,3.575,worst
6,7,3.75,3.75,3.5,4.0,3.75,3.75,worst
6,8,4.162162162162162,4.1891891891891895,3.5945945945945947,3.5405405405405403,3.972972972972973,3.891891891891892,best
6,2,4.076923076923077,4.230769230769231,3.5384615384615383,3.769230769230769,3.923076923076923,3.907692307692307,best
6,4,4.0,5.0,3.0,4.0,4.333333333333333,4.066666666666666,best
7,2,3.5,3.3333333333333335,3.3333333333333335,2.5,3.3333333333333335,3.2,worst
7,7,3.3333333333333335,3.6666666666666665,3.0,3.0,3.0,3.2,worst
7,3,4.0,3.1666666666666665,3.0,3.5,3.8333333333333335,3.5,worst
7,1,4.142857142857143,4.285714285714286,3.2857142857142856,3.7142857142857144,3.857142857142857,3.8571428571428577,best
7,5,4.076923076923077,4.0,3.8461538461538463,4.0,3.769230769230769,3.9384615384615387,best
7,6,4.0,4.0,3.6666666666666665,4.333333333333333,4.333333333333333,4.066666666666666,best
8,5,3.0,3.4444444444444446,2.0,2.5555555555555554,2.888888888888889,2.7777777777777777,worst
8,7,3.5,3.75,2.75,3.25,3.75,3.4,worst
8,4,3.5,3.5,3.5,3.5,3.5,3.5,worst
8,3,3.7,3.8,3.7,3.6,4.1,3.78,best
8,8,3.914285714285714,3.942857142857143,3.5142857142857142,3.6,3.942857142857143,3.782857142857143,best
8,1,4.285714285714286,4.428571428571429,2.4285714285714284,3.7142857142857144,4.142857142857143,3.8,best
9,5,3.0,3.0,2.6,2.4,2.8,2.7600000000000002,worst
9,6,3.3333333333333335,3.5,3.3333333333333335,2.5,3.5,3.2333333333333334,worst
9,3,3.5714285714285716,3.642857142857143,2.9285714285714284,3.2142857142857144,3.142857142857143,3.3,worst
9,2,3.8461538461538463,3.8461538461538463,3.769230769230769,3.6923076923076925,3.923076923076923,3.815384615384615,best
9,7,4.5,4.0,3.0,3.5,5.0,4.0,best
9,4,4.0,4.5,4.0,4.0,4.5,4.2,best
10,3,3.6,3.0,2.4,2.6,2.8,2.88,worst
10,7,3.142857142857143,3.4285714285714284,3.142857142857143,2.5714285714285716,3.142857142857143,3.0857142857142854,worst
10,4,3.5,3.125,3.375,3.0,3.5,3.3,worst
10,5,4.0,3.3333333333333335,3.6666666666666665,3.1666666666666665,3.1666666666666665,3.4666666666666663,best
10,1,4.2,4.0,3.5,3.5,3.8,3.8,best
10,6,4.214285714285714,4.214285714285714,4.0,4.0,4.0,4.085714285714286,best
11,5,3.5,2.75,2.25,3.0,2.5,2.8,worst
11,3,2.8333333333333335,3.1666666666666665,3.1666666666666665,3.0,3.5,3.1333333333333333,worst
11,7,3.3333333333333335,3.6666666666666665,3.0,2.6666666666666665,3.6666666666666665,3.2666666666666666,worst
11,4,3.4615384615384617,3.769230769230769,3.6923076923076925,3.5384615384615383,3.6923076923076925,3.6307692307692307,best
11,2,4.052631578947368,4.368421052631579,3.210526315789474,3.526315789473684,4.105263157894737,3.8526315789473684,best
11,6,4.285714285714286,4.285714285714286,3.5714285714285716,4.0,3.857142857142857,4.0,best
12,5,1.8333333333333333,2.8333333333333335,1.5,2.5,2.5,2.2333333333333334,worst
12,3,3.111111111111111,3.111111111111111,3.3333333333333335,2.7777777777777777,3.6666666666666665,3.1999999999999997,worst
12,4,3.3,3.5,3.4,3.3,3.5,3.4,worst
12,2,3.7857142857142856,3.7142857142857144,3.5714285714285716,3.857142857142857,3.5714285714285716,3.7,best
12,7,4.0,3.5,4.0,4.25,4.0,3.95,best
12,6,4.25,4.0,3.75,4.0,4.0,4.0,best
